order_id,order_placement_time,time_of_day,is_weekend,restaurant_type,is_specialty_item,order_volume_items,dine_in_traffic_volume,other_app_traffic_volume,initial_zomato_predicted_kpt_mins,actual_prep_time_ground_truth_mins,rider_arrival_time_mins,merchant_marked_for_time_mins,dispatch_time_mins,delivery_time_mins,restaurant_closed_after_arrival,rider_wait_time_at_pickup_mins,eta_prediction_error_mins,cancellation_flag
ORD_000021,2024-03-01 09:22:00,Morning,0,Dine-in Restaurant,0,7,28,3,33.2,37.3,37.2,37.4,37.3,65.3,0,0.09999999999999432,4.099999999999994,0
ORD_000022,2024-02-12 21:07:00,Night/Dinner,0,Dine-in Restaurant,1,9,10,6,35.8,30.0,35.0,30.2,35.0,46.03760758659648,0,0.0,5.799999999999997,0
ORD_000023,2024-02-25 19:14:00,Night/Dinner,1,Dine-in Restaurant,0,2,42,30,6.6,29.6,12.0,32.2,29.6,44.6,0,17.6,23.0,0
ORD_000024,2024-02-05 10:46:00,Morning,0,Dine-in Restaurant,0,8,24,2,29.4,39.8,40.4,41.2,40.4,61.4394150163587,0,0.0,10.399999999999999,0
ORD_000025,2024-02-21 14:00:00,Day/Lunch,0,Dine-in Restaurant,1,1,58,28,5.3,28.6,4.2,31.1,28.6,52.6,0,24.400000000000002,23.3,1
ORD_000026,2024-02-07 21:37:00,Night/Dinner,0,Dine-in Restaurant,1,3,42,12,9.9,24.6,8.3,27.6,24.6,43.6,0,16.3,14.700000000000001,0
ORD_000027,2024-02-04 10:00:00,Morning,1,Dine-in Restaurant,0,8,42,15,32.8,49.1,31.8,50.3,49.1,64.1,0,17.3,16.300000000000004,0
ORD_000028,2024-02-28 00:13:00,Late Night,0,Dine-in Restaurant,0,8,29,9,34.8,43.4,44.2,45.4,44.2,65.18348743674449,0,0.0,8.600000000000001,0
ORD_000029,2024-02-18 12:56:00,Day/Lunch,1,Quick Service/Kiosk,0,8,7,6,33.5,35.9,34.5,36.8,35.9,58.9,0,1.3999999999999986,2.3999999999999986,0
ORD_000030,2024-02-26 09:24:00,Morning,0,Cloud Kitchen,0,7,0,21,26.1,34.3,36.2,36.9,36.2,51.24304746503006,0,0.0,8.199999999999996,0
ORD_000031,2024-02-02 22:43:00,Late Night,0,Dine-in Restaurant,0,2,13,3,8.5,12.8,14.3,14.7,14.3,28.34163221446629,0,0.0,4.300000000000001,0
ORD_000032,2024-02-28 23:10:00,Late Night,0,Quick Service/Kiosk,0,3,2,4,14.6,13.8,18.8,16.3,18.8,31.80717545063297,0,0.0,0.7999999999999989,0
ORD_000033,2024-02-28 08:28:00,Morning,0,Cloud Kitchen,1,9,0,18,36.7,30.6,48.1,32.6,48.1,75.13600387134042,0,0.0,6.100000000000001,0
ORD_000034,2024-02-08 00:34:00,Late Night,0,Quick Service/Kiosk,1,2,5,3,7.6,8.0,5.9,8.3,8.0,31.0,0,2.0999999999999996,0.40000000000000036,0
ORD_000035,2024-02-14 18:24:00,Night/Dinner,0,Dine-in Restaurant,0,7,18,11,29.8,36.7,23.0,38.5,36.7,47.7,0,13.700000000000003,6.900000000000002,0
ORD_000036,2024-02-04 23:31:00,Late Night,1,Dine-in Restaurant,0,1,30,21,5.0,19.3,3.5,21.2,19.3,48.3,0,15.8,14.3,0
ORD_000037,2024-02-02 17:01:00,Night/Dinner,0,Quick Service/Kiosk,1,3,1,2,12.3,9.3,13.3,11.4,13.3,23.273432455338693,0,0.0,3.0,0
ORD_000038,2024-02-06 09:25:00,Morning,0,Dine-in Restaurant,0,1,8,6,5.4,8.2,8.7,8.4,8.7,27.729950985970554,0,0.0,2.799999999999999,0
ORD_000039,2024-02-10 11:42:00,Day/Lunch,1,Quick Service/Kiosk,0,6,6,0,24.6,25.8,30.4,27.9,30.4,40.4347227054866,0,0.0,1.1999999999999993,0
ORD_000040,2024-02-18 12:09:00,Day/Lunch,1,Quick Service/Kiosk,0,4,13,6,15.1,21.7,19.0,23.5,21.7,40.7,0,2.6999999999999993,6.6,0
ORD_000041,2024-02-12 02:41:00,Late Night,0,Quick Service/Kiosk,0,1,9,2,4.4,7.3,8.9,9.9,8.9,22.921811938708203,0,0.0,2.8999999999999995,0
ORD_000042,2024-02-10 16:35:00,Night/Dinner,1,Dine-in Restaurant,0,5,19,13,19.5,29.6,21.2,30.1,29.6,49.6,0,8.400000000000002,10.100000000000001,0
ORD_000043,2024-02-14 13:35:00,Day/Lunch,0,Dine-in Restaurant,1,4,56,8,18.3,30.4,23.5,30.6,30.4,46.4,0,6.899999999999999,12.099999999999998,0
ORD_000044,2024-02-15 07:35:00,Morning,0,Dine-in Restaurant,0,2,20,10,7.5,17.0,11.0,19.4,17.0,38.0,0,6.0,9.5,0
ORD_000045,2024-02-14 21:15:00,Night/Dinner,0,Quick Service/Kiosk,0,7,16,2,27.5,33.4,35.9,33.7,35.9,51.93396382584586,0,0.0,5.899999999999999,0
ORD_000046,2024-02-25 04:55:00,Late Night,1,Dine-in Restaurant,0,8,40,10,33.6,47.0,38.4,48.1,47.0,65.0,0,8.600000000000001,13.399999999999999,0
ORD_000047,2024-02-21 11:59:00,Day/Lunch,0,Cloud Kitchen,1,4,0,18,15.5,16.6,21.4,19.2,21.4,35.3651131210915,0,0.0,1.1000000000000014,0
ORD_000048,2024-02-13 05:37:00,Late Night,0,Dine-in Restaurant,1,9,26,4,36.2,34.2,51.4,52.3,51.4,61.3979152098701,0,0.0,2.0,0
ORD_000049,2024-02-15 17:56:00,Night/Dinner,0,Dine-in Restaurant,0,3,10,12,11.3,18.6,11.8,19.9,18.6,41.6,0,6.800000000000001,7.300000000000001,0
ORD_000050,2024-02-24 03:36:00,Late Night,1,Dine-in Restaurant,1,6,9,4,22.4,20.7,29.5,22.5,29.5,57.46229268266478,0,0.0,1.6999999999999993,0
ORD_000051,2024-02-28 03:07:00,Late Night,0,Cloud Kitchen,0,7,0,37,27.4,39.1,29.9,41.0,39.1,51.1,0,9.200000000000003,11.700000000000003,0
ORD_000052,2024-02-28 08:12:00,Morning,0,Quick Service/Kiosk,0,7,6,4,26.8,31.0,27.5,32.8,31.0,45.0,0,3.5,4.199999999999999,0
ORD_000053,2024-02-09 19:40:00,Night/Dinner,0,Dine-in Restaurant,0,6,16,18,29.5,34.2,30.9,34.4,34.2,44.2,0,3.3000000000000043,4.700000000000003,0
ORD_000054,2024-02-15 01:04:00,Late Night,0,Quick Service/Kiosk,0,9,8,0,35.4,38.4,41.4,40.7,41.4,60.43563993940216,0,0.0,3.0,0
ORD_000055,2024-02-25 08:40:00,Morning,1,Cloud Kitchen,0,1,0,19,3.0,9.7,4.4,12.1,9.7,38.7,0,5.299999999999999,6.699999999999999,0
ORD_000056,2024-02-24 19:12:00,Night/Dinner,1,Cloud Kitchen,0,9,0,55,37.7,52.5,31.2,52.8,52.5,78.5,0,21.3,14.799999999999997,1
ORD_000057,2024-02-12 10:47:00,Morning,0,Cloud Kitchen,0,9,0,29,37.6,44.7,37.3,46.9,44.7,55.7,0,7.400000000000006,7.100000000000001,0
ORD_000058,2024-02-24 18:06:00,Night/Dinner,1,Dine-in Restaurant,0,4,34,7,14.2,28.3,23.3,29.8,28.3,54.3,0,5.0,14.100000000000001,0
ORD_000059,2024-02-11 09:52:00,Morning,1,Dine-in Restaurant,0,5,43,21,20.5,39.2,26.0,39.2,39.2,67.2,0,13.200000000000003,18.700000000000003,0
ORD_000060,2024-02-08 06:58:00,Morning,0,Cloud Kitchen,0,3,0,10,11.5,15.0,2.2,17.1,15.0,31.0,0,12.8,3.5,0
ORD_000061,2024-02-01 06:18:00,Morning,0,Dine-in Restaurant,0,7,6,8,28.6,32.2,27.1,33.6,32.2,61.2,0,5.100000000000001,3.6000000000000014,0
ORD_000062,2024-02-05 03:50:00,Late Night,0,Dine-in Restaurant,0,2,29,8,7.5,19.1,4.1,19.5,19.1,41.1,0,15.000000000000002,11.600000000000001,0
ORD_000063,2024-02-26 00:40:00,Late Night,0,Dine-in Restaurant,1,8,21,14,27.9,32.9,20.6,33.4,32.9,55.9,0,12.299999999999997,5.0,0
ORD_000064,2024-02-28 02:14:00,Late Night,0,Cloud Kitchen,1,9,0,16,37.1,30.0,38.8,32.3,38.8,59.78733592892311,0,0.0,7.100000000000001,0
ORD_000065,2024-02-09 12:59:00,Day/Lunch,0,Dine-in Restaurant,0,6,26,14,24.9,36.0,33.0,38.8,36.0,58.0,0,3.0,11.100000000000001,0
ORD_000066,2024-02-02 17:36:00,Night/Dinner,0,Cloud Kitchen,0,9,0,26,33.5,43.8,30.8,44.3,43.8,67.8,0,12.999999999999996,10.299999999999997,0
ORD_000067,2024-02-16 08:22:00,Morning,0,Dine-in Restaurant,0,6,5,13,26.0,29.4,25.2,30.6,29.4,42.4,0,4.199999999999999,3.3999999999999986,0
ORD_000068,2024-02-23 13:24:00,Day/Lunch,0,Quick Service/Kiosk,1,3,2,6,14.0,10.8,14.5,11.8,14.5,24.46308288286122,0,0.0,3.1999999999999993,0
ORD_000069,2024-02-03 11:23:00,Day/Lunch,1,Dine-in Restaurant,0,3,25,7,14.4,21.6,7.5,23.4,21.6,34.6,0,14.100000000000001,7.200000000000001,0
ORD_000070,2024-02-08 12:05:00,Day/Lunch,0,Cloud Kitchen,1,2,0,29,4.9,14.3,17.7,18.5,17.7,38.68542198108035,0,0.0,9.4,0
ORD_000071,2024-02-27 16:00:00,Night/Dinner,0,Cloud Kitchen,0,5,0,31,21.7,29.3,27.9,31.0,29.3,44.3,0,1.4000000000000021,7.600000000000001,0
ORD_000072,2024-02-03 10:12:00,Morning,1,Cloud Kitchen,1,4,0,27,14.3,19.3,17.2,21.8,19.3,31.3,0,2.1000000000000014,5.0,0
ORD_000073,2024-02-15 10:42:00,Morning,0,Dine-in Restaurant,0,6,21,3,21.6,31.2,20.2,33.1,31.2,46.2,0,11.0,9.599999999999998,0
ORD_000074,2024-02-01 17:08:00,Night/Dinner,0,Cloud Kitchen,1,5,0,17,19.0,19.1,14.6,19.7,19.1,44.1,0,4.500000000000002,0.10000000000000142,0
ORD_000075,2024-02-26 08:22:00,Morning,0,Dine-in Restaurant,0,6,12,12,23.5,31.2,21.6,33.4,31.2,52.2,0,9.599999999999998,7.699999999999999,0
ORD_000076,2024-02-14 14:30:00,Day/Lunch,0,Dine-in Restaurant,1,4,30,14,15.0,24.4,22.5,25.8,24.4,46.4,0,1.8999999999999986,9.399999999999999,0
ORD_000077,2024-02-27 06:32:00,Morning,0,Cloud Kitchen,0,3,0,31,14.4,21.3,13.1,21.6,21.3,39.3,0,8.200000000000001,6.9,0
ORD_000078,2024-02-15 17:18:00,Night/Dinner,0,Cloud Kitchen,0,1,0,37,1.9,15.1,3.6,16.1,15.1,28.1,0,11.5,13.2,0
ORD_000079,2024-02-26 14:51:00,Day/Lunch,0,Cloud Kitchen,1,5,0,34,21.9,24.2,24.2,25.1,24.2,38.21814867869924,0,0.0,2.3000000000000007,0
ORD_000080,2024-02-13 14:23:00,Day/Lunch,0,Quick Service/Kiosk,1,6,2,2,23.1,18.0,41.6,20.5,41.6,61.649171731623255,0,0.0,5.100000000000001,0
ORD_000081,2024-02-07 21:04:00,Night/Dinner,0,Dine-in Restaurant,0,5,34,4,20.2,31.4,19.2,32.1,31.4,45.4,0,12.2,11.2,0
ORD_000082,2024-02-20 17:00:00,Night/Dinner,0,Quick Service/Kiosk,0,5,5,4,19.4,22.7,15.8,24.2,22.7,43.7,0,6.899999999999999,3.3000000000000007,0
ORD_000083,2024-02-04 08:04:00,Morning,1,Dine-in Restaurant,1,6,9,12,22.4,23.1,15.2,25.1,23.1,37.1,0,7.900000000000002,0.7000000000000028,0
ORD_000084,2024-02-23 03:50:00,Late Night,0,Cloud Kitchen,1,4,0,28,14.3,19.6,13.0,19.8,19.6,42.6,0,6.600000000000001,5.300000000000001,0
ORD_000085,2024-02-13 19:54:00,Night/Dinner,0,Cloud Kitchen,0,4,0,52,13.4,31.6,27.1,32.0,31.6,42.6,0,4.5,18.200000000000003,0
ORD_000086,2024-02-29 17:39:00,Night/Dinner,0,Dine-in Restaurant,0,8,5,10,29.2,36.5,34.1,38.9,36.5,50.5,0,2.3999999999999986,7.300000000000001,0
ORD_000087,2024-02-13 19:43:00,Night/Dinner,0,Dine-in Restaurant,1,8,46,18,31.7,41.6,41.1,42.6,41.6,65.6,0,0.5,9.900000000000002,0
ORD_000088,2024-02-07 21:06:00,Night/Dinner,0,Cloud Kitchen,0,3,0,48,14.7,26.4,19.0,28.5,26.4,38.4,0,7.399999999999999,11.7,0
ORD_000089,2024-02-22 09:37:00,Morning,0,Dine-in Restaurant,1,7,14,8,25.8,26.2,26.1,28.5,26.2,55.2,0,0.09999999999999787,0.3999999999999986,0
ORD_000090,2024-02-10 09:16:00,Morning,1,Dine-in Restaurant,1,5,9,4,20.4,17.9,25.9,19.8,25.9,48.859789525070596,0,0.0,2.5,0
ORD_000091,2024-03-01 16:52:00,Night/Dinner,0,Dine-in Restaurant,1,5,24,3,19.7,22.1,17.0,23.8,22.1,49.1,0,5.100000000000001,2.400000000000002,0
ORD_000092,2024-02-06 13:15:00,Day/Lunch,0,Cloud Kitchen,1,3,0,60,14.6,26.4,19.8,27.9,26.4,42.4,0,6.599999999999998,11.799999999999999,0
ORD_000093,2024-02-28 22:43:00,Late Night,0,Dine-in Restaurant,1,2,16,11,9.0,13.7,16.0,17.1,16.0,27.01937731526277,0,0.0,4.699999999999999,0
ORD_000094,2024-03-01 22:34:00,Late Night,0,Dine-in Restaurant,1,3,16,8,10.7,15.6,17.7,18.4,17.7,40.68256658284219,0,0.0,4.9,0
ORD_000095,2024-02-26 22:51:00,Late Night,0,Dine-in Restaurant,1,7,6,10,25.6,24.4,26.6,27.3,26.6,46.58964710310438,0,0.0,1.2000000000000028,0
ORD_000096,2024-02-25 20:54:00,Night/Dinner,1,Dine-in Restaurant,0,3,12,7,8.1,17.7,16.2,19.6,17.7,38.7,0,1.5,9.6,0
ORD_000097,2024-03-01 20:48:00,Night/Dinner,0,Quick Service/Kiosk,0,2,12,6,6.5,13.4,2.9,14.0,13.4,24.4,0,10.5,6.9,0
ORD_000098,2024-02-01 23:20:00,Late Night,0,Quick Service/Kiosk,0,4,4,0,20.3,17.2,26.0,19.7,26.0,48.979982658779946,0,0.0,3.1000000000000014,0
ORD_000099,2024-02-27 10:32:00,Morning,0,Dine-in Restaurant,1,5,24,9,18.8,23.9,22.2,26.4,23.9,37.9,0,1.6999999999999993,5.099999999999998,0
ORD_000100,2024-02-20 16:12:00,Night/Dinner,0,Cloud Kitchen,0,7,0,30,24.2,37.0,22.7,39.3,37.0,52.0,0,14.3,12.8,0
ORD_000101,2024-02-09 21:22:00,Night/Dinner,0,Cloud Kitchen,0,1,0,42,0.7,16.6,-2.8,16.9,16.6,27.6,0,19.400000000000002,15.900000000000002,0
ORD_000102,2024-02-07 11:49:00,Day/Lunch,0,Cloud Kitchen,0,8,0,11,35.2,35.3,36.8,35.4,36.8,59.7805878138482,0,0.0,0.09999999999999432,0
ORD_000103,2024-02-08 23:54:00,Late Night,0,Cloud Kitchen,1,3,0,18,11.1,13.8,13.5,15.9,13.8,37.8,0,0.3000000000000007,2.700000000000001,0
ORD_000104,2024-02-09 05:17:00,Late Night,0,Dine-in Restaurant,1,6,21,2,24.8,23.7,23.7,24.3,23.7,41.7,0,0.0,1.1000000000000014,0
ORD_000105,2024-02-05 20:48:00,Night/Dinner,0,Dine-in Restaurant,1,4,28,28,16.6,28.0,12.1,30.5,28.0,55.0,0,15.9,11.399999999999999,0
ORD_000106,2024-02-19 20:57:00,Night/Dinner,0,Dine-in Restaurant,0,5,18,20,18.7,31.4,25.0,33.4,31.4,57.4,0,6.399999999999999,12.7,0
ORD_000107,2024-02-12 11:03:00,Day/Lunch,0,Dine-in Restaurant,0,6,26,6,23.1,33.6,29.9,34.7,33.6,62.6,0,3.700000000000003,10.5,0
ORD_000108,2024-02-15 23:17:00,Late Night,0,Cloud Kitchen,0,2,0,31,6.1,17.3,18.6,19.8,18.6,29.614594784179186,0,0.0,11.200000000000001,0
ORD_000109,2024-02-24 20:56:00,Night/Dinner,1,Dine-in Restaurant,0,3,25,25,8.3,27.0,7.0,28.5,27.0,40.0,0,20.0,18.7,0
ORD_000110,2024-02-20 18:56:00,Night/Dinner,0,Dine-in Restaurant,0,8,13,6,34.0,37.7,36.4,38.8,37.7,62.7,0,1.3000000000000043,3.700000000000003,0
ORD_000111,2024-03-01 07:21:00,Morning,0,Dine-in Restaurant,0,8,8,2,33.6,35.0,40.4,35.5,40.4,51.402181740051574,0,0.0,1.3999999999999986,0
ORD_000112,2024-02-20 21:31:00,Night/Dinner,0,Cloud Kitchen,0,1,0,62,4.0,22.6,11.2,25.6,22.6,44.6,0,11.400000000000002,18.6,0
ORD_000113,2024-03-01 23:29:00,Late Night,0,Quick Service/Kiosk,0,8,6,0,32.2,33.8,36.0,36.0,36.0,59.02759932278144,0,0.0,1.5999999999999943,0
ORD_000114,2024-02-03 18:56:00,Night/Dinner,1,Cloud Kitchen,0,2,0,22,10.0,14.6,15.6,16.3,15.6,44.57894179145096,0,0.0,4.6,0
ORD_000115,2024-02-05 15:51:00,Day/Lunch,0,Dine-in Restaurant,0,8,12,4,27.4,36.8,26.1,36.9,36.8,46.8,0,10.699999999999996,9.399999999999999,0
ORD_000116,2024-02-17 11:38:00,Day/Lunch,1,Cloud Kitchen,0,5,0,39,21.0,31.7,23.6,32.7,31.7,54.7,0,8.099999999999998,10.7,0
ORD_000117,2024-02-17 00:01:00,Late Night,1,Dine-in Restaurant,0,1,40,7,6.1,18.1,3.7,19.8,18.1,37.1,0,14.400000000000002,12.000000000000002,0
ORD_000118,2024-02-02 03:39:00,Late Night,0,Dine-in Restaurant,0,8,9,3,35.8,35.6,41.1,38.4,41.1,60.14585792920868,0,0.0,0.19999999999999574,0
ORD_000119,2024-02-22 14:14:00,Day/Lunch,0,Dine-in Restaurant,0,5,22,4,21.9,27.8,29.3,30.0,29.3,46.259385825013226,0,0.0,5.900000000000002,0
ORD_000120,2024-02-05 20:48:00,Night/Dinner,0,Cloud Kitchen,0,1,0,48,7.2,18.4,26.5,27.7,26.5,36.54383258789532,0,0.0,11.2,0
ORD_000121,2024-02-01 23:46:00,Late Night,0,Cloud Kitchen,1,4,0,29,15.6,19.9,25.0,25.7,25.0,51.955276709321275,0,0.0,4.299999999999999,0
ORD_000122,2024-03-01 19:13:00,Night/Dinner,0,Quick Service/Kiosk,0,1,14,8,4.0,10.6,-2.5,10.8,10.6,35.6,0,13.1,6.6,0
ORD_000123,2024-02-21 12:09:00,Day/Lunch,0,Cloud Kitchen,0,9,0,37,34.4,47.1,31.2,48.9,47.1,76.1,0,15.900000000000002,12.700000000000003,0
ORD_000124,2024-02-06 23:59:00,Late Night,0,Dine-in Restaurant,1,2,11,8,6.8,11.3,16.2,11.6,16.2,28.228688771496024,0,0.0,4.500000000000001,0
ORD_000125,2024-02-23 13:55:00,Day/Lunch,0,Dine-in Restaurant,0,8,54,26,33.9,56.0,38.7,58.2,56.0,79.0,0,17.299999999999997,22.1,0
ORD_000126,2024-02-23 03:22:00,Late Night,0,Dine-in Restaurant,0,4,9,12,16.9,22.3,19.4,24.0,22.3,34.3,0,2.900000000000002,5.400000000000002,0
ORD_000127,2024-02-24 02:02:00,Late Night,1,Cloud Kitchen,0,9,0,31,37.1,45.3,38.8,46.0,45.3,63.3,0,6.5,8.199999999999996,0
ORD_000128,2024-02-17 12:46:00,Day/Lunch,1,Cloud Kitchen,0,2,0,55,4.9,24.5,2.1,26.9,24.5,42.5,0,22.4,19.6,1
ORD_000129,2024-02-06 04:39:00,Late Night,0,Quick Service/Kiosk,0,3,9,2,13.0,15.3,5.2,17.4,15.3,35.3,0,10.100000000000001,2.3000000000000007,0
ORD_000130,2024-02-05 14:43:00,Day/Lunch,0,Cloud Kitchen,0,2,0,38,10.7,19.4,8.1,21.3,19.4,35.4,0,11.299999999999999,8.7,0
ORD_000131,2024-02-02 03:17:00,Late Night,0,Quick Service/Kiosk,1,5,6,0,20.9,15.8,21.8,16.4,21.8,44.8367568829715,0,0.0,5.099999999999998,0
ORD_000132,2024-02-22 12:31:00,Day/Lunch,0,Cloud Kitchen,0,1,0,38,2.1,15.4,5.2,17.5,15.4,38.4,0,10.2,13.3,0
ORD_000133,2024-02-16 10:08:00,Morning,0,Quick Service/Kiosk,1,3,5,4,11.9,11.1,12.5,12.7,12.5,32.521237792865676,0,0.0,0.8000000000000007,0
ORD_000134,2024-02-09 19:07:00,Night/Dinner,0,Cloud Kitchen,1,1,0,40,6.8,14.8,2.4,16.4,14.8,27.8,0,12.4,8.0,0
ORD_000135,2024-02-27 22:29:00,Late Night,0,Cloud Kitchen,1,8,0,15,32.6,26.9,31.9,27.3,31.9,47.942075852684546,0,0.0,5.700000000000003,0
ORD_000136,2024-02-16 22:52:00,Late Night,0,Cloud Kitchen,1,4,0,35,18.5,21.7,21.2,22.1,21.7,38.7,0,0.5,3.1999999999999993,0
ORD_000137,2024-02-03 10:59:00,Morning,1,Cloud Kitchen,0,3,0,43,15.8,24.9,19.1,25.0,24.9,53.9,0,5.799999999999997,9.099999999999998,0
ORD_000138,2024-02-28 15:54:00,Day/Lunch,0,Dine-in Restaurant,1,8,19,14,31.6,32.3,31.6,33.0,32.3,57.3,0,0.6999999999999957,0.6999999999999957,0
ORD_000139,2024-02-04 06:42:00,Morning,1,Dine-in Restaurant,0,9,15,7,33.9,42.6,34.0,44.1,42.6,59.6,0,8.600000000000001,8.700000000000003,0
ORD_000140,2024-02-26 02:26:00,Late Night,0,Dine-in Restaurant,1,8,25,14,31.0,34.1,37.0,38.1,37.0,60.022808503815966,0,0.0,3.1000000000000014,0
ORD_000141,2024-02-20 14:23:00,Day/Lunch,0,Dine-in Restaurant,0,6,20,4,27.9,31.2,31.1,33.3,31.2,54.2,0,0.09999999999999787,3.3000000000000007,0
ORD_000142,2024-02-07 08:08:00,Morning,0,Cloud Kitchen,0,3,0,39,13.7,23.7,13.8,24.9,23.7,45.7,0,9.899999999999999,10.0,0
ORD_000143,2024-02-01 09:10:00,Morning,0,Dine-in Restaurant,1,8,10,7,32.5,27.5,36.2,27.8,36.2,47.238898850522524,0,0.0,5.0,0
ORD_000144,2024-02-18 14:31:00,Day/Lunch,1,Dine-in Restaurant,0,5,12,20,22.2,29.6,14.1,31.8,29.6,42.6,0,15.500000000000002,7.400000000000002,0
ORD_000145,2024-02-01 07:52:00,Morning,0,Dine-in Restaurant,0,5,14,6,19.1,26.0,19.6,26.6,26.0,39.0,0,6.399999999999999,6.899999999999999,0
ORD_000146,2024-02-18 02:30:00,Late Night,1,Cloud Kitchen,0,9,0,25,35.4,43.5,36.6,44.4,43.5,62.5,0,6.899999999999999,8.100000000000001,0
ORD_000147,2024-03-01 22:01:00,Late Night,0,Dine-in Restaurant,1,1,25,11,2.6,13.6,4.5,15.1,13.6,26.6,0,9.1,11.0,0
ORD_000148,2024-02-03 04:22:00,Late Night,1,Dine-in Restaurant,0,7,13,4,32.4,33.1,30.0,34.8,33.1,59.1,0,3.1000000000000014,0.7000000000000028,0
ORD_000149,2024-02-28 02:23:00,Late Night,0,Dine-in Restaurant,0,8,8,5,32.4,35.9,37.6,36.8,37.6,52.61824703188922,0,0.0,3.5,0
ORD_000150,2024-02-26 10:23:00,Morning,0,Dine-in Restaurant,1,3,20,11,11.8,17.7,7.5,19.1,17.7,37.7,0,10.2,5.899999999999999,0
ORD_000151,2024-02-25 14:40:00,Day/Lunch,1,Quick Service/Kiosk,0,8,22,5,32.5,40.1,26.0,40.3,40.1,52.1,0,14.100000000000001,7.600000000000001,0
